,word,second_category,first_category,B2B_ind,cut_phrase1,rlist1,f_result,hit_words,cross_set,plist,source,cut_phrase,rlist,result,second_hit_words,second_cross_set,second_plist,source_2,result_ind,baike_words_list,baike_json_list,baike_first_result,baike_second_result,f_success_ind,success_ind,amb_success_ind
17,无动力风机,工业设备,工业制造,B2B,"['无动力', '风机']","['工业制造', ['风机'], ['工业制造', '能源材料'], [0.0005037894736842105, 8.947368421052631e-07], '交叉概率']",工业制造,['风机'],"['工业制造', '能源材料']","[0.0005037894736842105, 8.947368421052631e-07]",交叉概率,"['无动力', '风机']","['仪器仪表', ['风机'], 0, 0, '唯一dict']",仪器仪表,['风机'],0,0,唯一dict,B2B,,,,,1,0,1
18,锅炉,工业设备,工业制造,B2B,['锅炉'],"['工业制造', ['锅炉'], ['工业制造', '能源材料'], [0.0006681578947368421, 6.842105263157894e-07], '交叉概率']",工业制造,['锅炉'],"['工业制造', '能源材料']","[0.0006681578947368421, 6.842105263157894e-07]",交叉概率,['锅炉'],"['工业设备', ['锅炉'], 0, 0, '唯一dict']",工业设备,['锅炉'],0,0,唯一dict,B2B,,,,,1,1,1
19,服务器,仪器仪表,工业制造,B2B,['服务器'],"['其他服务', '', 0, 0, '新词']",工业制造,,0,0,新词,['服务器'],"['', '', '', 0, '交叉dict']",仪器仪表,,,0,交叉dict,B2B,"[['伺服器'], ['伺服器']]","[{'description': '服务器是计算机的一种，它比普通计算机运行更快、负载更高、价格更贵。服务器在网络中为其它客户机（如PC机、智能手机、ATM等终端甚至是火车系统等大型设备）提供计算或者应用服务。服务器具有高速的CPU运算能力、长时间的可靠运行、强大的I/O外部数据吞吐能力以及更好的扩展性。根据服务器所提供的服务，一般来说服务器都具备承担响应服务请求、承担服务、保障服务的能力。服务器作为电子设备，其内部的结构十分的复杂，但与普通的计算机内部结构相差不大，如：cpu、硬盘、内存，系统、系统总线等。...', '中文名': '服务器', '外文名': 'server', '别名': '伺服器', '分类': '文件、数据库及应用程序服务器', '构成': 'cpu、芯片组、内存、磁盘系统等', '特性': '可扩展、易使用、可用、易管理', '外形': '刀片式、塔式、机柜式等'}, {'description': '服务器是计算机的一种，它比普通计算机运行更快、负载更高、价格更贵。服务器在网络中为其它客户机（如PC机、智能手机、ATM等终端甚至是火车系统等大型设备）提供计算或者应用服务。服务器具有高速的CPU运算能力、长时间的可靠运行、强大的I/O外部数据吞吐能力以及更好的扩展性。根据服务器所提供的服务，一般来说服务器都具备承担响应服务请求、承担服务、保障服务的能力。服务器作为电子设备，其内部的结构十分的复杂，但与普通的计算机内部结构相差不大，如：cpu、硬盘、内存，系统、系统总线等。...', '中文名': '服务器', '外文名': 'server', '别名': '伺服器', '分类': '文件、数据库及应用程序服务器', '构成': 'cpu、芯片组、内存、磁盘系统等', '特性': '可扩展、易使用、可用、易管理', '外形': '刀片式、塔式、机柜式等'}]",工业制造,仪器仪表,1,1,1
20,活性炭,冶金矿产,工业制造,B2B,['活性炭'],"['工业制造', ['活性炭'], 0, 0, 0, '唯一dict']",工业制造,['活性炭'],0,0,唯一dict,['活性炭'],"['仪器仪表', ['活性炭'], 0, 0, '唯一dict']",仪器仪表,['活性炭'],0,0,唯一dict,B2B,,,,,1,0,1
21,强夯,工业设备,工业制造,B2B,['强夯'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['强夯'],"['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,"[['动力固结法'], ['动力固结法']]","[{'description': '强夯法即强力夯实法，又称动力固结法。是利用大型履带式强夯机将8-30吨的重锤从6-30米高度自由落下，对土进行强力夯实，迅速提高地基的承载力及压缩模量，形成比较均匀的、密实的地基，在地基一定深度内改变了地基土的孔隙分布。强夯法施工已广泛运用到高速公路铁路，机场、核电站、大工业区、港口填海等基础加固工程。优点工期短、效果好、造价低。...', '中文名': '强夯', '拼音': 'Qiáng hāng', '解释': '强力夯实法', '别名': '动力固结法', '术语分类': '建筑', '应用范围': '市政；建筑；公路等'}, {'description': '强夯法即强力夯实法，又称动力固结法。是利用大型履带式强夯机将8-30吨的重锤从6-30米高度自由落下，对土进行强力夯实，迅速提高地基的承载力及压缩模量，形成比较均匀的、密实的地基，在地基一定深度内改变了地基土的孔隙分布。强夯法施工已广泛运用到高速公路铁路，机场、核电站、大工业区、港口填海等基础加固工程。优点工期短、效果好、造价低。...', '中文名': '强夯', '拼音': 'Qiáng hāng', '解释': '强力夯实法', '别名': '动力固结法', '术语分类': '建筑', '应用范围': '市政；建筑；公路等'}]",能源材料,建材服务,0,0,1
22,管件,五金配件,工业制造,B2B,['管件'],"['工业制造', ['管件'], ['工业制造', '能源材料'], [3.021052631578947e-05, 2.1052631578947366e-07], '交叉概率']",工业制造,['管件'],"['工业制造', '能源材料']","[3.021052631578947e-05, 2.1052631578947366e-07]",交叉概率,['管件'],"['仪器仪表', ['管件'], 0, 0, '唯一dict']",仪器仪表,['管件'],0,0,唯一dict,B2B,,,,,1,0,1
23,保温袋,建材服务,能源材料,B2B,"['保温', '袋']","['能源材料', ['保温'], 0, 0, 0, '唯一dict']",能源材料,['保温'],0,0,唯一dict,"['保温', '袋']","['建材服务', ['保温'], 0, 0, '唯一dict']",建材服务,['保温'],0,0,唯一dict,B2B,,,,,1,1,1
24,装载机,工业设备,工业制造,B2B,['装载机'],"['其他服务', '', 0, 0, '新词']",,,0,0,新词,['装载机'],"['工程车', '人工', 0, 0, '人工2级规则']",工程车,人工,0,0,人工2级规则,本地服务,,,,,0,0,0
25,隔断,建材服务,能源材料,B2B,['隔断'],"['能源材料', ['隔断'], 0, 0, 0, '唯一dict']",能源材料,['隔断'],0,0,唯一dict,['隔断'],"['建材服务', ['隔断'], 0, 0, '唯一dict']",建材服务,['隔断'],0,0,唯一dict,B2B,,,,,1,1,1
26,海鲜蒸柜,工业设备,工业制造,B2B,"['海鲜', '蒸柜']","['能源材料', ['海鲜'], 0, 0, 0, '唯一dict']",能源材料,['海鲜'],0,0,唯一dict,"['海鲜', '蒸柜']","['建材服务', ['海鲜'], 0, 0, '唯一dict']",建材服务,['海鲜'],0,0,唯一dict,B2B,,,,,0,0,1
27,岗亭,建材服务,能源材料,B2B,['岗亭'],"['能源材料', ['岗亭'], 0, 0, 0, '唯一dict']",能源材料,['岗亭'],0,0,唯一dict,['岗亭'],"['建材服务', ['岗亭'], 0, 0, '唯一dict']",建材服务,['岗亭'],0,0,唯一dict,B2B,,,,,1,1,1
28,珍珠岩,冶金矿产,工业制造,B2B,['珍珠岩'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['珍珠岩'],"['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,[],"[{'description': '珍珠岩 Perlite 珍珠岩是一种火山喷发的酸性熔岩，经急剧冷却而成的玻璃质岩石，因其具有珍珠裂隙结构而得名。珍珠岩矿包括珍珠岩，黑曜岩和松脂岩。三者的区别在于珍珠岩具有因冷凝作用形成的圆弧形裂纹，称珍珠岩结构，含水量2~6%；松脂岩具有独特的松脂光泽，含水量6~10%；黑曜岩具有玻璃光泽与贝壳状断口，含水量一般小于2%。...', '中文名': '珍珠岩', '外文名': 'Perlite', '类别': '酸性熔岩', '颜色': '黄白、肉红等', '光泽': '玻璃光泽', '容重': '≤80kg/m3~200 kg/m3', '密度': '2.2~2.4g/cm3', '耐火度': '1300~1380℃', '膨胀倍数': '4~25', '化学成分': 'SiO2 70%±，H20 4~6%，Fe2O3'}, {'description': '珍珠岩 Perlite 珍珠岩是一种火山喷发的酸性熔岩，经急剧冷却而成的玻璃质岩石，因其具有珍珠裂隙结构而得名。珍珠岩矿包括珍珠岩，黑曜岩和松脂岩。三者的区别在于珍珠岩具有因冷凝作用形成的圆弧形裂纹，称珍珠岩结构，含水量2~6%；松脂岩具有独特的松脂光泽，含水量6~10%；黑曜岩具有玻璃光泽与贝壳状断口，含水量一般小于2%。...', '中文名': '珍珠岩', '外文名': 'Perlite', '类别': '酸性熔岩', '颜色': '黄白、肉红等', '光泽': '玻璃光泽', '容重': '≤80kg/m3~200 kg/m3', '密度': '2.2~2.4g/cm3', '耐火度': '1300~1380℃', '膨胀倍数': '4~25', '化学成分': 'SiO2 70%±，H20 4~6%，Fe2O3'}]",能源材料,建材服务,0,0,1
29,网片,五金配件,工业制造,B2B,['网片'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['网片'],"['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,[],"[{'description': '网片是用于煤矿护顶、隧道、桥梁建设、路基网筋、建筑工地的建筑材料。...', '中文名': '网片', '外文名': 'Iron net', '材质': '低碳钢丝、电镀锌丝等', '网片基地': '河北省衡水市安平县'}, {'description': '网片是用于煤矿护顶、隧道、桥梁建设、路基网筋、建筑工地的建筑材料。...', '中文名': '网片', '外文名': 'Iron net', '材质': '低碳钢丝、电镀锌丝等', '网片基地': '河北省衡水市安平县'}]",能源材料,建材服务,0,0,1
30,地磅,工业设备,工业制造,B2B,['地磅'],"['工业制造', ['地磅'], 0, 0, 0, '唯一dict']",工业制造,['地磅'],0,0,唯一dict,['地磅'],"['仪器仪表', ['地磅'], 0, 0, '唯一dict']",仪器仪表,['地磅'],0,0,唯一dict,B2B,,,,,1,0,1
31,玻璃隔断,建材服务,能源材料,B2B,['玻璃隔断'],"['能源材料', ['玻璃隔断'], 0, 0, 0, '唯一dict']",能源材料,['玻璃隔断'],0,0,唯一dict,['玻璃隔断'],"['建材服务', ['玻璃隔断'], 0, 0, '唯一dict']",建材服务,['玻璃隔断'],0,0,唯一dict,B2B,,,,,1,1,1
32,灌装机,工业设备,工业制造,B2B,['灌装机'],"['其他服务', '', 0, 0, '新词']",工业制造,,0,0,新词,['灌装机'],"['', '', '', 0, '交叉dict']",工业设备,,,0,交叉dict,B2B,[],"[{'description': '灌装机主要是包装机中的一小类产品，从对物料的包装角度可分为液体灌装机，膏体灌装机，粉剂灌装机,颗粒灌装机；从生产的自动化程度来讲分为半自动灌装机和全自动灌装生产线。近来随着食品的QS认证，食用油的厂家已经开始注重产品质量和包装，所以油类灌装机在灌装机中地位凸现。...', '中文名': '灌装机', '外文名': 'Filling machine', '作用': '实现物料机械灌装的功能'}, {'description': '灌装机主要是包装机中的一小类产品，从对物料的包装角度可分为液体灌装机，膏体灌装机，粉剂灌装机,颗粒灌装机；从生产的自动化程度来讲分为半自动灌装机和全自动灌装生产线。近来随着食品的QS认证，食用油的厂家已经开始注重产品质量和包装，所以油类灌装机在灌装机中地位凸现。...', '中文名': '灌装机', '外文名': 'Filling machine', '作用': '实现物料机械灌装的功能'}]",工业制造,工业设备,1,1,1
33,彩灯,建材服务,能源材料,B2B,['彩灯'],"['能源材料', ['彩灯'], 0, 0, 0, '唯一dict']",能源材料,['彩灯'],0,0,唯一dict,['彩灯'],"['建材服务', ['彩灯'], 0, 0, '唯一dict']",建材服务,['彩灯'],0,0,唯一dict,B2B,,,,,1,1,1
34,快速卷帘门,建材服务,能源材料,B2B,['快速卷帘门'],"['能源材料', ['快速卷帘门'], 0, 0, 0, '唯一dict']",能源材料,['快速卷帘门'],0,0,唯一dict,['快速卷帘门'],"['建材服务', ['快速卷帘门'], 0, 0, '唯一dict']",建材服务,['快速卷帘门'],0,0,唯一dict,B2B,,,,,1,1,1
35,蓄电池,电子元器件,工业制造,B2B,['蓄电池'],"['工业制造', ['蓄电池'], 0, 0, 0, '唯一dict']",工业制造,['蓄电池'],0,0,唯一dict,['蓄电池'],"['仪器仪表', ['蓄电池'], 0, 0, '唯一dict']",仪器仪表,['蓄电池'],0,0,唯一dict,B2B,,,,,1,0,1
36,制丸机,工业设备,工业制造,B2B,['制丸机'],"['工业制造', ['制丸机'], 0, 0, 0, '唯一dict']",工业制造,['制丸机'],0,0,唯一dict,['制丸机'],"['仪器仪表', ['制丸机'], 0, 0, '唯一dict']",仪器仪表,['制丸机'],0,0,唯一dict,B2B,,,,,1,0,1
37,轮毂修复设备,工业设备,工业制造,B2B,"['轮毂', '修复', '设备']","['能源材料', ['修复'], 0, 0, 0, '唯一dict']",能源材料,['修复'],0,0,唯一dict,"['轮毂', '修复', '设备']","['仪器仪表', ['修复', '设备'], 0, 0, '唯一dict']",仪器仪表,"['修复', '设备']",0,0,唯一dict,B2B,,,,,0,0,1
38,开门机,工业设备,工业制造,B2B,['开门机'],"['其他服务', '', 0, 0, '新词']",工业制造,,0,0,新词,['开门机'],"['', '', '', 0, '交叉dict']",仪器仪表,,,0,交叉dict,B2B,[],"[{'description': '开门机是由电机、变速机构、离合装置组成的一种驱动器，属机电产品。通常用于实现各种门体的电动开启、关闭。...', '中文名': '开门机', '外文名': 'GATE OPERATOR', '类别': '驱动器', '功能': '实现各种门体的电动开启、关闭', '分类': '地埋式、直臂式、曲臂式'}, {'description': '开门机是由电机、变速机构、离合装置组成的一种驱动器，属机电产品。通常用于实现各种门体的电动开启、关闭。...', '中文名': '开门机', '外文名': 'GATE OPERATOR', '类别': '驱动器', '功能': '实现各种门体的电动开启、关闭', '分类': '地埋式、直臂式、曲臂式'}]",工业制造,仪器仪表,1,0,1
